muni,state,muni_fines,state_fines
Igarapé Grande,MA,IGARAPE GRANDE,MA
Imperatriz,MA,IMPERATRIZ,MA
Itaipava do Grajaú,MA,ITAIPAVA DO GRAJAU,MA
Itapecuru Mirim,MA,ITAPECURU MIRIM,MA
Itinga do Maranhão,MA,ITINGA DO MARANHAO,MA
Jatobá,MA,JATOBA,MA
Jenipapo dos Vieiras,MA,JENIPAPO DOS VIEIRAS,MA
João Lisboa,MA,JOAO LISBOA,MA
Joselândia,MA,JOSELANDIA,MA
Junco do Maranhão,MA,JUNCO DO MARANHAO,MA
Lago da Pedra,MA,LAGO DA PEDRA,MA
Lago do Junco,MA,LAGO DO JUNCO,MA
Lago dos Rodrigues,MA,LAGO DOS RODRIGUES,MA
Lago Verde,MA,LAGO VERDE,MA
Lagoa do Mato,MA,LAGOA DO MATO,MA
Lagoa Grande do Maranhão,MA,LAGOA GRANDE DO MARANHAO,MA
Lajeado Novo,MA,LAJEADO NOVO,MA
Lima Campos,MA,LIMA CAMPOS,MA
Loreto,MA,LORETO,MA
Luís Domingues,MA,LUIS DOMINGUES,MA
Magalhães de Almeida,MA,MAGALHAES DE ALMEIDA,MA
Maracaçumé,MA,MARACACUME,MA
Marajá do Sena,MA,MARAJA DO SENA,MA
Maranhãozinho,MA,MARANHAOZINHO,MA
Mata Roma,MA,MATA ROMA,MA
Matinha,MA,MATINHA,MA
Matões,MA,MATOES,MA
Matões do Norte,MA,MATOES DO NORTE,MA
Milagres do Maranhão,MA,MILAGRES DO MARANHAO,MA
Mirador,MA,MIRADOR,MA
Miranda do Norte,MA,MIRANDA DO NORTE,MA
Mirinzal,MA,MIRINZAL,MA
Monção,MA,MONCAO,MA
Montes Altos,MA,MONTES ALTOS,MA
Morros,MA,MORROS,MA
Nina Rodrigues,MA,NINA RODRIGUES,MA
Nova Colinas,MA,NOVA COLINAS,MA
Nova Iorque,MA,NOVA IORQUE,MA
Nova Olinda do Maranhão,MA,NOVA OLINDA DO MARANHAO,MA
Olho d'Água das Cunhãs,MA,OLHO D'AGUA DAS CUNHAS,MA
Olinda Nova do Maranhão,MA,OLINDA NOVA DO MARANHAO,MA
Paço do Lumiar,MA,PACO DO LUMIAR,MA
Palmeirândia,MA,PALMEIRANDIA,MA
Paraibano,MA,PARAIBANO,MA
Parnarama,MA,PARNARAMA,MA
Passagem Franca,MA,PASSAGEM FRANCA,MA
Pastos Bons,MA,PASTOS BONS,MA
Paulino Neves,MA,PAULINO NEVES,MA
Paulo Ramos,MA,PAULO RAMOS,MA
Pedreiras,MA,PEDREIRAS,MA
Pedro do Rosário,MA,PEDRO DO ROSARIO,MA
Penalva,MA,PENALVA,MA
Peri Mirim,MA,PERI MIRIM,MA
Peritoró,MA,PERITORO,MA
Pindaré-Mirim,MA,PINDARE-MIRIM,MA
Pinheiro,MA,PINHEIRO,MA
Pio XII,MA,PIO XII,MA
Pirapemas,MA,PIRAPEMAS,MA
Poção de Pedras,MA,POCAO DE PEDRAS,MA
Porto Franco,MA,PORTO FRANCO,MA
Porto Rico do Maranhão,MA,PORTO RICO DO MARANHAO,MA
Presidente Dutra,MA,PRESIDENTE DUTRA,MA
Presidente Juscelino,MA,PRESIDENTE JUSCELINO,MA
Presidente Médici,MA,PRESIDENTE MEDICI,MA
Presidente Sarney,MA,PRESIDENTE SARNEY,MA
Presidente Vargas,MA,PRESIDENTE VARGAS,MA
Primeira Cruz,MA,PRIMEIRA CRUZ,MA
Raposa,MA,RAPOSA,MA
Riachão,MA,RIACHAO,MA
Ribamar Fiquene,MA,RIBAMAR FIQUENE,MA
Rosário,MA,ROSARIO,MA
Sambaíba,MA,SAMBAIBA,MA
Santa Filomena do Maranhão,MA,SANTA FILOMENA DO MARANHAO,MA
Santa Helena,MA,SANTA HELENA,MA
Santa Inês,MA,SANTA INES,MA
Santa Luzia,MA,SANTA LUZIA,MA
Santa Luzia do Paruá,MA,SANTA LUZIA DO PARUA,MA
Santa Quitéria do Maranhão,MA,SANTA QUITERIA DO MARANHAO,MA
Santa Rita,MA,SANTA RITA,MA
Santana do Maranhão,MA,SANTANA DO MARANHAO,MA
Santo Amaro do Maranhão,MA,SANTO AMARO DO MARANHAO,MA
Santo Antônio dos Lopes,MA,SANTO ANTONIO DOS LOPES,MA
São Benedito do Rio Preto,MA,SAO BENEDITO DO RIO PRETO,MA
São Bento,MA,SAO BENTO,MA
São Bernardo,MA,SAO BERNARDO,MA
São Domingos do Azeitão,MA,SAO DOMINGOS DO AZEITAO,MA
São Domingos do Maranhão,MA,SAO DOMINGOS DO MARANHAO,MA
São Félix de Balsas,MA,SAO FELIX DE BALSAS,MA
São Francisco do Brejão,MA,SAO FRANCISCO DO BREJAO,MA
São Francisco do Maranhão,MA,,
São João Batista,MA,SAO JOAO BATISTA,MA
São João do Carú,MA,SAO JOAO DO CARU,MA
São João do Paraíso,MA,SAO JOAO DO PARAISO,MA
São João do Soter,MA,SAO JOAO DO SOTER,MA
São João dos Patos,MA,SAO JOAO DOS PATOS,MA
São José de Ribamar,MA,SAO JOSE DE RIBAMAR,MA
São José dos Basílios,MA,SAO JOSE DOS BASILIOS,MA
São Luís,MA,SAO LUIS,MA
São Luís Gonzaga do Maranhão,MA,SAO LUIS GONZAGA DO MARANHAO,MA
São Mateus do Maranhão,MA,SAO MATEUS DO MARANHAO,MA
São Pedro da Água Branca,MA,SAO PEDRO DA AGUA BRANCA,MA
São Pedro dos Crentes,MA,SAO PEDRO DOS CRENTES,MA
São Raimundo das Mangabeiras,MA,SAO RAIMUNDO DAS MANGABEIRAS,MA
São Raimundo do Doca Bezerra,MA,,
São Roberto,MA,SAO ROBERTO,MA
São Vicente Ferrer,MA,SAO VICENTE FERRER,MA
Satubinha,MA,SATUBINHA,MA
Senador Alexandre Costa,MA,SENADOR ALEXANDRE COSTA,MA
Senador La Rocque,MA,SENADOR LA ROCQUE,MA
Serrano do Maranhão,MA,SERRANO DO MARANHAO,MA
Sítio Novo,MA,SITIO NOVO,MA
Sucupira do Norte,MA,SUCUPIRA DO NORTE,MA
Sucupira do Riachão,MA,SUCUPIRA DO RIACHAO,MA
Tasso Fragoso,MA,TASSO FRAGOSO,MA
Timbiras,MA,TIMBIRAS,MA
Timon,MA,TIMON,MA
Trizidela do Vale,MA,TRIZIDELA DO VALE,MA
Tufilândia,MA,TUFILANDIA,MA
Tuntum,MA,TUNTUM,MA
Turiaçu,MA,TURIACU,MA
Turilândia,MA,TURILANDIA,MA
Tutóia,MA,TUTOIA,MA
Urbano Santos,MA,URBANO SANTOS,MA
Vargem Grande,MA,VARGEM GRANDE,MA
Viana,MA,VIANA,MA
Vila Nova dos Martírios,MA,VILA NOVA DOS MARTIRIOS,MA
Vitória do Mearim,MA,VITORIA DO MEARIM,MA
Vitorino Freire,MA,VITORINO FREIRE,MA
Zé Doca,MA,ZE DOCA,MA
Abadia dos Dourados,MG,ABADIA DOS DOURADOS,MG
Abaeté,MG,ABAETE,MG
Abre Campo,MG,ABRE CAMPO,MG
Acaiaca,MG,ACAIACA,MG
Açucena,MG,ACUCENA,MG
Água Boa,MG,AGUA BOA,MG
Água Comprida,MG,AGUA COMPRIDA,MG
Aguanil,MG,AGUANIL,MG
Águas Formosas,MG,AGUAS FORMOSAS,MG
Águas Vermelhas,MG,AGUAS VERMELHAS,MG
Aimorés,MG,AIMORES,MG
Aiuruoca,MG,AIURUOCA,MG
Alagoa,MG,ALAGOA,MG
Albertina,MG,ALBERTINA,MG
Além Paraíba,MG,ALEM PARAIBA,MG
Alfenas,MG,ALFENAS,MG
Alfredo Vasconcelos,MG,ALFREDO VASCONCELOS,MG
Almenara,MG,ALMENARA,MG
Alpercata,MG,ALPERCATA,MG
Alpinópolis,MG,ALPINOPOLIS,MG
Alterosa,MG,ALTEROSA,MG
Alto Caparaó,MG,ALTO CAPARAO,MG
Alto Jequitibá,MG,ALTO JEQUITIBA,MG
Alto Rio Doce,MG,ALTO RIO DOCE,MG
Alvarenga,MG,ALVARENGA,MG
Alvinópolis,MG,ALVINOPOLIS,MG
Alvorada de Minas,MG,ALVORADA DE MINAS,MG
Amparo do Serra,MG,AMPARO DO SERRA,MG
Andradas,MG,ANDRADAS,MG
Andrelândia,MG,ANDRELANDIA,MG
Angelândia,MG,ANGELANDIA,MG
Antônio Carlos,MG,ANTONIO CARLOS,MG
Antônio Dias,MG,ANTONIO DIAS,MG
Antônio Prado de Minas,MG,ANTONIO PRADO DE MINAS,MG
Araçaí,MG,ARACAI,MG
Aracitaba,MG,ARACITABA,MG
Araçuaí,MG,ARACUAI,MG
Araguari,MG,ARAGUARI,MG
Arantina,MG,ARANTINA,MG
Araponga,MG,ARAPONGA,MG
Araporã,MG,ARAPORA,MG
Arapuá,MG,ARAPUA,MG
Araújos,MG,ARAUJOS,MG
Araxá,MG,ARAXA,MG
Arceburgo,MG,ARCEBURGO,MG
Arcos,MG,ARCOS,MG
Areado,MG,AREADO,MG
Argirita,MG,ARGIRITA,MG
Aricanduva,MG,ARICANDUVA,MG
Arinos,MG,ARINOS,MG
Astolfo Dutra,MG,ASTOLFO DUTRA,MG
Ataléia,MG,ATALEIA,MG
Augusto de Lima,MG,AUGUSTO DE LIMA,MG
Baependi,MG,BAEPENDI,MG
Baldim,MG,BALDIM,MG
Bambuí,MG,BAMBUI,MG
Bandeira,MG,BANDEIRA,MG
Bandeira do Sul,MG,BANDEIRA DO SUL,MG
Barão de Cocais,MG,BARAO DE COCAIS,MG
Barão de Monte Alto,MG,BARAO DE MONTE ALTO,MG
Barbacena,MG,BARBACENA,MG
Barra Longa,MG,BARRA LONGA,MG
Barroso,MG,BARROSO,MG
Bela Vista de Minas,MG,BELA VISTA DE MINAS,MG
Belmiro Braga,MG,BELMIRO BRAGA,MG
Belo Horizonte,MG,BELO HORIZONTE,MG
Belo Oriente,MG,BELO ORIENTE,MG
Belo Vale,MG,BELO VALE,MG
Berilo,MG,BERILO,MG
Berizal,MG,BERIZAL,MG
Bertópolis,MG,BERTOPOLIS,MG
Betim,MG,BETIM,MG
Bias Fortes,MG,BIAS FORTES,MG
Bicas,MG,BICAS,MG
Biquinhas,MG,BIQUINHAS,MG
Boa Esperança,MG,BOA ESPERANCA,MG
Bocaina de Minas,MG,BOCAINA DE MINAS,MG
Bocaiúva,MG,BOCAIUVA,MG
Bom Despacho,MG,BOM DESPACHO,MG
Bom Jardim de Minas,MG,BOM JARDIM DE MINAS,MG
Bom Jesus da Penha,MG,BOM JESUS DA PENHA,MG
Bom Jesus do Amparo,MG,BOM JESUS DO AMPARO,MG
Bom Jesus do Galho,MG,BOM JESUS DO GALHO,MG
Bom Repouso,MG,BOM REPOUSO,MG
Bom Sucesso,MG,BOM SUCESSO,MG
Bonfim,MG,BONFIM,MG
Bonfinópolis de Minas,MG,BONFINOPOLIS DE MINAS,MG
Bonito de Minas,MG,BONITO DE MINAS,MG
Borda da Mata,MG,BORDA DA MATA,MG
Botelhos,MG,BOTELHOS,MG
Botumirim,MG,BOTUMIRIM,MG
Brás Pires,MG,BRAS PIRES,MG
Brasilândia de Minas,MG,BRASILANDIA DE MINAS,MG
Brasília de Minas,MG,BRASILIA DE MINAS,MG
Braúnas,MG,BRAUNAS,MG
Brazópolis,MG,BRASOPOLIS,MG
Brumadinho,MG,BRUMADINHO,MG
Bueno Brandão,MG,BUENO BRANDAO,MG
Buenópolis,MG,BUENOPOLIS,MG
Bugre,MG,BUGRE,MG
Buritis,MG,BURITIS,MG
Buritizeiro,MG,BURITIZEIRO,MG
Cabeceira Grande,MG,CABECEIRA GRANDE,MG
Cabo Verde,MG,CABO VERDE,MG
Cachoeira da Prata,MG,CACHOEIRA DA PRATA,MG
Cachoeira de Minas,MG,CACHOEIRA DE MINAS,MG
Cachoeira de Pajeú,MG,CACHOEIRA DE PAJEU,MG
Cachoeira Dourada,MG,CACHOEIRA DOURADA,MG
Caetanópolis,MG,CAETANOPOLIS,MG
Caeté,MG,CAETE,MG
Caiana,MG,CAIANA,MG
Cajuri,MG,CAJURI,MG
Caldas,MG,CALDAS,MG
Camacho,MG,CAMACHO,MG
Camanducaia,MG,CAMANDUCAIA,MG
Cambuí,MG,CAMBUI,MG
Cambuquira,MG,CAMBUQUIRA,MG
Campanário,MG,CAMPANARIO,MG
Campanha,MG,CAMPANHA,MG
Campestre,MG,CAMPESTRE,MG
Campina Verde,MG,CAMPINA VERDE,MG
Campo Azul,MG,CAMPO AZUL,MG
Campo Belo,MG,CAMPO BELO,MG
Campo do Meio,MG,CAMPO DO MEIO,MG
Campo Florido,MG,CAMPO FLORIDO,MG
Campos Altos,MG,CAMPOS ALTOS,MG
Campos Gerais,MG,CAMPOS GERAIS,MG
Cana Verde,MG,CANA VERDE,MG
Canaã,MG,CANAA,MG
Canápolis,MG,CANAPOLIS,MG
Candeias,MG,CANDEIAS,MG
Cantagalo,MG,CANTAGALO,MG
Caparaó,MG,CAPARAO,MG
Capela Nova,MG,CAPELA NOVA,MG
Capelinha,MG,CAPELINHA,MG
Capetinga,MG,CAPETINGA,MG
Capim Branco,MG,CAPIM BRANCO,MG
Capinópolis,MG,CAPINOPOLIS,MG
Capitão Andrade,MG,CAPITAO ANDRADE,MG
Capitão Enéas,MG,CAPITAO ENEAS,MG
Capitólio,MG,CAPITOLIO,MG
Caputira,MG,CAPUTIRA,MG
Caraí,MG,CARAI,MG
Caranaíba,MG,CARANAIBA,MG
Carandaí,MG,CARANDAI,MG
Carangola,MG,CARANGOLA,MG
Caratinga,MG,CARATINGA,MG
Carbonita,MG,CARBONITA,MG
Careaçu,MG,CAREACU,MG
Carlos Chagas,MG,CARLOS CHAGAS,MG
Carmésia,MG,CARMESIA,MG
Carmo da Cachoeira,MG,CARMO DA CACHOEIRA,MG
Carmo da Mata,MG,CARMO DA MATA,MG
Carmo de Minas,MG,CARMO DE MINAS,MG
Carmo do Cajuru,MG,CARMO DO CAJURU,MG
Carmo do Paranaíba,MG,CARMO DO PARANAIBA,MG
Carmo do Rio Claro,MG,CARMO DO RIO CLARO,MG
Carmópolis de Minas,MG,CARMOPOLIS DE MINAS,MG
Carneirinho,MG,CARNEIRINHO,MG
Carrancas,MG,CARRANCAS,MG
Carvalhópolis,MG,CARVALHOPOLIS,MG
Carvalhos,MG,CARVALHOS,MG
Casa Grande,MG,CASA GRANDE,MG
Cascalho Rico,MG,CASCALHO RICO,MG
Cássia,MG,CASSIA,MG
Cataguases,MG,CATAGUASES,MG
Catas Altas,MG,CATAS ALTAS,MG
Catas Altas da Noruega,MG,CATAS ALTAS DA NORUEGA,MG
Catuji,MG,CATUJI,MG
Catuti,MG,CATUTI,MG
Caxambu,MG,CAXAMBU,MG
Cedro do Abaeté,MG,CEDRO DO ABAETE,MG
Central de Minas,MG,CENTRAL DE MINAS,MG
Centralina,MG,CENTRALINA,MG
Chácara,MG,CHACARA,MG
Chalé,MG,CHALE,MG
Chapada do Norte,MG,CHAPADA DO NORTE,MG
Chapada Gaúcha,MG,CHAPADA GAUCHA,MG
Chiador,MG,CHIADOR,MG
Cipotânea,MG,CIPOTANEA,MG
Claraval,MG,CLARAVAL,MG
Claro dos Poções,MG,CLARO DOS POCOES,MG
Cláudio,MG,CLAUDIO,MG
Coimbra,MG,COIMBRA,MG
Coluna,MG,COLUNA,MG
Comendador Gomes,MG,COMENDADOR GOMES,MG
Comercinho,MG,COMERCINHO,MG
Conceição da Aparecida,MG,CONCEICAO DA APARECIDA,MG
Conceição da Barra de Minas,MG,CONCEICAO DA BARRA DE MINAS,MG
Conceição das Alagoas,MG,CONCEICAO DAS ALAGOAS,MG
Conceição das Pedras,MG,CONCEICAO DAS PEDRAS,MG
Conceição de Ipanema,MG,CONCEICAO DE IPANEMA,MG
Conceição do Mato Dentro,MG,CONCEICAO DO MATO DENTRO,MG
Conceição do Pará,MG,CONCEICAO DO PARA,MG
Conceição do Rio Verde,MG,CONCEICAO DO RIO VERDE,MG
Conceição dos Ouros,MG,CONCEICAO DOS OUROS,MG
Cônego Marinho,MG,CONEGO MARINHO,MG
Confins,MG,CONFINS,MG
Congonhal,MG,CONGONHAL,MG
Congonhas,MG,CONGONHAS,MG
Congonhas do Norte,MG,CONGONHAS DO NORTE,MG
Conquista,MG,CONQUISTA,MG
Conselheiro Lafaiete,MG,CONSELHEIRO LAFAIETE,MG
Conselheiro Pena,MG,CONSELHEIRO PENA,MG
Consolação,MG,CONSOLACAO,MG
Contagem,MG,CONTAGEM,MG
Coqueiral,MG,COQUEIRAL,MG
Coração de Jesus,MG,CORACAO DE JESUS,MG
Cordisburgo,MG,CORDISBURGO,MG
Cordislândia,MG,CORDISLANDIA,MG
Corinto,MG,CORINTO,MG
Coroaci,MG,COROACI,MG
Coromandel,MG,COROMANDEL,MG
Coronel Fabriciano,MG,CORONEL FABRICIANO,MG
Coronel Murta,MG,CORONEL MURTA,MG
Coronel Pacheco,MG,CORONEL PACHECO,MG
Coronel Xavier Chaves,MG,CORONEL XAVIER CHAVES,MG
Córrego Danta,MG,CORREGO DANTA,MG
Córrego do Bom Jesus,MG,CORREGO DO BOM JESUS,MG
Córrego Fundo,MG,CORREGO FUNDO,MG
Córrego Novo,MG,CORREGO NOVO,MG
Couto de Magalhães de Minas,MG,COUTO DE MAGALHAES DE MINAS,MG
Crisólita,MG,CRISOLITA,MG
Cristais,MG,CRISTAIS,MG
Cristália,MG,CRISTALIA,MG
Cristiano Otoni,MG,CRISTIANO OTONI,MG
Cristina,MG,CRISTINA,MG
Crucilândia,MG,CRUCILANDIA,MG
Cruzeiro da Fortaleza,MG,CRUZEIRO DA FORTALEZA,MG
Cruzília,MG,CRUZILIA,MG
Cuparaque,MG,CUPARAQUE,MG
Curral de Dentro,MG,CURRAL DE DENTRO,MG
Curvelo,MG,CURVELO,MG
Datas,MG,DATAS,MG
Delfim Moreira,MG,DELFIM MOREIRA,MG
Delfinópolis,MG,DELFINOPOLIS,MG
Delta,MG,DELTA,MG
Descoberto,MG,DESCOBERTO,MG
Desterro de Entre Rios,MG,DESTERRO DE ENTRE RIOS,MG
Desterro do Melo,MG,DESTERRO DO MELO,MG
Diamantina,MG,DIAMANTINA,MG
Diogo de Vasconcelos,MG,DIOGO DE VASCONCELOS,MG
Dionísio,MG,DIONISIO,MG
Divinésia,MG,DIVINESIA,MG
Divino,MG,DIVINO,MG
Divino das Laranjeiras,MG,DIVINO DAS LARANJEIRAS,MG
Divinolândia de Minas,MG,DIVINOLANDIA DE MINAS,MG
Divinópolis,MG,DIVINOPOLIS,MG
Divisa Alegre,MG,DIVISA ALEGRE,MG
Divisa Nova,MG,DIVISA NOVA,MG
Divisópolis,MG,DIVISOPOLIS,MG
Dom Bosco,MG,DOM BOSCO,MG
Dom Cavati,MG,DOM CAVATI,MG
Dom Joaquim,MG,DOM JOAQUIM,MG
Dom Silvério,MG,DOM SILVERIO,MG
Dom Viçoso,MG,DOM VICOSO,MG
Dona Euzébia,MG,DONA EUSEBIA,MG
Dores de Campos,MG,DORES DE CAMPOS,MG
Dores de Guanhães,MG,DORES DE GUANHAES,MG
Dores do Indaiá,MG,DORES DO INDAIA,MG
Dores do Turvo,MG,DORES DO TURVO,MG
Doresópolis,MG,DORESOPOLIS,MG
Douradoquara,MG,DOURADOQUARA,MG
Durandé,MG,DURANDE,MG
Elói Mendes,MG,ELOI MENDES,MG
Engenheiro Caldas,MG,ENGENHEIRO CALDAS,MG
Engenheiro Navarro,MG,ENGENHEIRO NAVARRO,MG
Entre Folhas,MG,ENTRE FOLHAS,MG
Entre Rios de Minas,MG,ENTRE RIOS DE MINAS,MG
Ervália,MG,ERVALIA,MG
Esmeraldas,MG,ESMERALDAS,MG
Espera Feliz,MG,ESPERA FELIZ,MG
Espinosa,MG,ESPINOSA,MG
Espírito Santo do Dourado,MG,ESPIRITO SANTO DO DOURADO,MG
Estiva,MG,ESTIVA,MG
Estrela Dalva,MG,ESTRELA DALVA,MG
Estrela do Indaiá,MG,ESTRELA DO INDAIA,MG
Estrela do Sul,MG,ESTRELA DO SUL,MG
Eugenópolis,MG,EUGENOPOLIS,MG
Ewbank da Câmara,MG,EWBANK DA CAMARA,MG
Extrema,MG,EXTREMA,MG
Fama,MG,FAMA,MG
Faria Lemos,MG,FARIA LEMOS,MG
Felício dos Santos,MG,FELICIO DOS SANTOS,MG
Felisburgo,MG,FELISBURGO,MG
Felixlândia,MG,FELIXLANDIA,MG
Fernandes Tourinho,MG,FERNANDES TOURINHO,MG
Ferros,MG,FERROS,MG
Fervedouro,MG,FERVEDOURO,MG
Florestal,MG,FLORESTAL,MG
Formiga,MG,FORMIGA,MG
Formoso,MG,FORMOSO,MG
Fortaleza de Minas,MG,FORTALEZA DE MINAS,MG
Fortuna de Minas,MG,FORTUNA DE MINAS,MG
Francisco Badaró,MG,FRANCISCO BADARO,MG
Francisco Dumont,MG,FRANCISCO DUMONT,MG
Francisco Sá,MG,FRANCISCO SA,MG
Franciscópolis,MG,FRANCISCOPOLIS,MG
Frei Gaspar,MG,FREI GASPAR,MG
Frei Inocêncio,MG,FREI INOCENCIO,MG
Frei Lagonegro,MG,FREI LAGONEGRO,MG
Fronteira,MG,FRONTEIRA,MG
Fronteira dos Vales,MG,FRONTEIRA DOS VALES,MG
Fruta de Leite,MG,FRUTA DE LEITE,MG
Frutal,MG,FRUTAL,MG
Funilândia,MG,FUNILANDIA,MG
Galiléia,MG,GALILEIA,MG
Gameleiras,MG,GAMELEIRAS,MG
Glaucilândia,MG,GLAUCILANDIA,MG
Goiabeira,MG,GOIABEIRA,MG
Goianá,MG,GOIANA,MG
Gonçalves,MG,GONCALVES,MG
Gonzaga,MG,GONZAGA,MG
Gouveia,MG,GOUVEIA,MG
Governador Valadares,MG,GOVERNADOR VALADARES,MG
Grão Mogol,MG,GRAO MOGOL,MG
Grupiara,MG,GRUPIARA,MG
Guanhães,MG,GUANHAES,MG
Guapé,MG,GUAPE,MG
Guaraciaba,MG,GUARACIABA,MG
Guaraciama,MG,GUARACIAMA,MG
Guaranésia,MG,GUARANESIA,MG
Guarani,MG,GUARANI,MG
Guarará,MG,GUARARA,MG
Guarda-Mor,MG,GUARDA-MOR,MG
Guaxupé,MG,GUAXUPE,MG
Guidoval,MG,GUIDOVAL,MG
Guimarânia,MG,GUIMARANIA,MG
Guiricema,MG,GUIRICEMA,MG
Gurinhatã,MG,GURINHATA,MG
Heliodora,MG,HELIODORA,MG
Iapu,MG,IAPU,MG
Ibertioga,MG,IBERTIOGA,MG
Ibiá,MG,IBIA,MG
Ibiaí,MG,IBIAI,MG
Ibiracatu,MG,IBIRACATU,MG
Ibiraci,MG,IBIRACI,MG
Ibirité,MG,IBIRITE,MG
Ibitiúra de Minas,MG,IBITIURA DE MINAS,MG
Ibituruna,MG,IBITURUNA,MG
Icaraí de Minas,MG,ICARAI DE MINAS,MG
Igarapé,MG,IGARAPE,MG
Igaratinga,MG,IGARATINGA,MG
Iguatama,MG,IGUATAMA,MG
Ijaci,MG,IJACI,MG
Ilicínea,MG,ILICINEA,MG
Imbé de Minas,MG,IMBE DE MINAS,MG
Inconfidentes,MG,INCONFIDENTES,MG
Indaiabira,MG,INDAIABIRA,MG
Indianópolis,MG,INDIANOPOLIS,MG
Ingaí,MG,INGAI,MG
Inhapim,MG,INHAPIM,MG
Inhaúma,MG,INHAUMA,MG
Inimutaba,MG,INIMUTABA,MG
Ipaba,MG,IPABA,MG
Ipanema,MG,IPANEMA,MG
Ipatinga,MG,IPATINGA,MG
Ipiaçu,MG,IPIACU,MG
Ipuiúna,MG,IPUIUNA,MG
Iraí de Minas,MG,IRAI DE MINAS,MG
Itabira,MG,ITABIRA,MG
Itabirinha,MG,ITABIRINHA,MG
Itabirito,MG,ITABIRITO,MG
Itacambira,MG,ITACAMBIRA,MG
Itacarambi,MG,ITACARAMBI,MG
Itaguara,MG,ITAGUARA,MG
Itaipé,MG,ITAIPE,MG
Itajubá,MG,ITAJUBA,MG
Itamarandiba,MG,ITAMARANDIBA,MG
Itamarati de Minas,MG,ITAMARATI DE MINAS,MG
Itambacuri,MG,ITAMBACURI,MG
Itambé do Mato Dentro,MG,ITAMBE DO MATO DENTRO,MG
Itamogi,MG,ITAMOGI,MG
Itamonte,MG,ITAMONTE,MG
Itanhandu,MG,ITANHANDU,MG
Itanhomi,MG,ITANHOMI,MG
Itaobim,MG,ITAOBIM,MG
Itapagipe,MG,ITAPAGIPE,MG
Itapecerica,MG,ITAPECERICA,MG
Itapeva,MG,ITAPEVA,MG
Itatiaiuçu,MG,ITATIAIUCU,MG
Itaú de Minas,MG,ITAU DE MINAS,MG
Itaúna,MG,ITAUNA,MG
Itaverava,MG,ITAVERAVA,MG
Itinga,MG,ITINGA,MG
Itueta,MG,ITUETA,MG
Ituiutaba,MG,ITUIUTABA,MG
Itumirim,MG,ITUMIRIM,MG
Iturama,MG,ITURAMA,MG
Itutinga,MG,ITUTINGA,MG
Jaboticatubas,MG,JABOTICATUBAS,MG
Jacinto,MG,JACINTO,MG
Jacuí,MG,JACUI,MG
Jacutinga,MG,JACUTINGA,MG
Jaguaraçu,MG,JAGUARACU,MG
Jaíba,MG,JAIBA,MG
Jampruca,MG,JAMPRUCA,MG
Janaúba,MG,JANAUBA,MG
Januária,MG,JANUARIA,MG
Japaraíba,MG,JAPARAIBA,MG
Japonvar,MG,JAPONVAR,MG
Jeceaba,MG,JECEABA,MG
Jenipapo de Minas,MG,JENIPAPO DE MINAS,MG
Jequeri,MG,JEQUERI,MG
Jequitaí,MG,JEQUITAI,MG
Jequitibá,MG,JEQUITIBA,MG
Jequitinhonha,MG,JEQUITINHONHA,MG
Jesuânia,MG,JESUANIA,MG
Joaíma,MG,JOAIMA,MG
Joanésia,MG,JOANESIA,MG
João Monlevade,MG,JOAO MONLEVADE,MG
João Pinheiro,MG,JOAO PINHEIRO,MG
Joaquim Felício,MG,JOAQUIM FELICIO,MG
Jordânia,MG,JORDANIA,MG
José Gonçalves de Minas,MG,JOSE GONCALVES DE MINAS,MG
José Raydan,MG,JOSE RAYDAN,MG
Josenópolis,MG,JOSENOPOLIS,MG
Juatuba,MG,JUATUBA,MG
Juiz de Fora,MG,JUIZ DE FORA,MG
Juramento,MG,JURAMENTO,MG
Juruaia,MG,JURUAIA,MG
Juvenília,MG,JUVENILIA,MG
Ladainha,MG,LADAINHA,MG
Lagamar,MG,LAGAMAR,MG
Lagoa da Prata,MG,LAGOA DA PRATA,MG
Lagoa dos Patos,MG,LAGOA DOS PATOS,MG
Lagoa Dourada,MG,LAGOA DOURADA,MG
Lagoa Formosa,MG,LAGOA FORMOSA,MG
Lagoa Grande,MG,LAGOA GRANDE,MG
Lagoa Santa,MG,LAGOA SANTA,MG
Lajinha,MG,LAJINHA,MG
Lambari,MG,LAMBARI,MG
Lamim,MG,LAMIM,MG
Laranjal,MG,LARANJAL,MG
Lassance,MG,LASSANCE,MG
Lavras,MG,LAVRAS,MG
Leandro Ferreira,MG,LEANDRO FERREIRA,MG
Leme do Prado,MG,LEME DO PRADO,MG
Leopoldina,MG,LEOPOLDINA,MG
Liberdade,MG,LIBERDADE,MG
Lima Duarte,MG,LIMA DUARTE,MG
Limeira do Oeste,MG,LIMEIRA DO OESTE,MG
Lontra,MG,LONTRA,MG
Luisburgo,MG,LUISBURGO,MG
Luislândia,MG,LUISLANDIA,MG
Luminárias,MG,LUMINARIAS,MG
Luz,MG,LUZ,MG
Machacalis,MG,MACHACALIS,MG
Machado,MG,MACHADO,MG
Madre de Deus de Minas,MG,MADRE DE DEUS DE MINAS,MG
Malacacheta,MG,MALACACHETA,MG
Mamonas,MG,MAMONAS,MG
Manga,MG,MANGA,MG
Manhuaçu,MG,MANHUACU,MG
Manhumirim,MG,MANHUMIRIM,MG
Mantena,MG,MANTENA,MG
